HMMProfile	protein_id	evalue	Coverage	ProfileLength	ProfileStart	GeneLength	ProfileEnd	GeneStart	GeneEnd	Strain
GH13_19.hmm	WP_073244851.1	2.20E-80	0.62	360	136	563	360	181	429	Maribacter aquivivus DSM16478
GH23.hmm	WP_073244917.1	1.80E-22	0.91	135	5	318	128	106	241	Maribacter aquivivus DSM16478
GT2_Glycos_transf_2.hmm	WP_073244931.1	6.70E-30	0.76	170	1	319	131	4	136	Maribacter aquivivus DSM16478
GH15.hmm	WP_073244969.1	5.40E-72	0.98	361	5	600	360	222	582	Maribacter aquivivus DSM16478
GT20.hmm	WP_073244971.1	4.80E-178	0.97	475	13	737	473	2	470	Maribacter aquivivus DSM16478
GT2_Glycos_transf_2.hmm	WP_073245046.1	5.80E-16	0.7	170	1	234	120	3	116	Maribacter aquivivus DSM16478
GH2.hmm	WP_073245188.1	1.70E-226	0.98	752	14	1063	751	54	942	Maribacter aquivivus DSM16478
GH5_4.hmm	WP_073245446.1	1.70E-90	0.99	276	2	384	275	83	355	Maribacter aquivivus DSM16478
GH130.hmm	WP_073245452.1	1.20E-76	0.93	296	9	374	285	61	372	Maribacter aquivivus DSM16478
AA3.hmm	WP_073245456.1	3.60E-58	0.52	618	83	573	404	3	571	Maribacter aquivivus DSM16478
GH109.hmm	WP_073245460.1	2.20E-23	0.93	126	2	457	119	41	156	Maribacter aquivivus DSM16478
GH31.hmm	WP_073245671.1	4.10E-167	1	427	1	800	427	229	673	Maribacter aquivivus DSM16478
CBM48.hmm	WP_073245677.1	7.30E-18	0.89	76	2	631	70	29	116	Maribacter aquivivus DSM16478
GH13_9.hmm	WP_073245677.1	4.70E-156	1	301	1	631	301	183	483	Maribacter aquivivus DSM16478
GT83.hmm	WP_073245772.1	1.80E-32	0.63	540	9	457	350	9	346	Maribacter aquivivus DSM16478
GT51.hmm	WP_073246015.1	1.50E-55	0.97	177	5	753	177	70	247	Maribacter aquivivus DSM16478
CBM9.hmm	WP_073246017.1	4.50E-18	0.87	182	2	732	161	38	207	Maribacter aquivivus DSM16478
GH109.hmm	WP_073246089.1	5.40E-16	0.9	126	1	478	114	36	142	Maribacter aquivivus DSM16478
GH3.hmm	WP_073246192.1	2.30E-61	0.97	216	5	521	215	90	317	Maribacter aquivivus DSM16478
GH3.hmm	WP_073246259.1	4.30E-55	0.98	216	5	969	216	99	325	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246261.1	3.60E-36	0.93	160	6	379	155	195	341	Maribacter aquivivus DSM16478
CBM13.hmm	WP_073246273.1	1.20E-19	0.69	188	5	2260	135	813	945	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246282.1	6.70E-31	0.97	160	3	375	158	189	346	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246286.1	7.20E-29	0.93	160	3	385	152	199	348	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246288.1	4.00E-22	0.93	160	8	350	156	177	320	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246290.1	7.60E-27	0.91	160	7	362	152	190	329	Maribacter aquivivus DSM16478
GT4.hmm	WP_073246296.1	1.00E-29	0.93	160	4	354	153	169	320	Maribacter aquivivus DSM16478
GT2_Glycos_transf_2.hmm	WP_073246298.1	3.80E-23	0.62	170	1	314	106	22	127	Maribacter aquivivus DSM16478
PL1_2.hmm	WP_073246300.1	5.20E-21	0.91	183	15	659	181	272	462	Maribacter aquivivus DSM16478
CE1.hmm	WP_073246515.1	1.20E-16	0.86	227	12	219	207	11	201	Maribacter aquivivus DSM16478
GT2_Glycos_transf_2.hmm	WP_073246523.1	1.70E-30	0.98	170	1	335	168	7	173	Maribacter aquivivus DSM16478
GH43_1.hmm	WP_073246663.1	2.50E-164	1	310	1	339	310	22	331	Maribacter aquivivus DSM16478
GH10.hmm	WP_073246666.1	2.30E-107	0.99	303	2	384	302	42	377	Maribacter aquivivus DSM16478
GH16_3.hmm	WP_073246770.1	3.80E-76	1	230	1	296	230	59	293	Maribacter aquivivus DSM16478
GT27.hmm	WP_073246777.1	4.30E-21	0.79	295	2	333	236	5	231	Maribacter aquivivus DSM16478
CE1.hmm	WP_073246871.1	1.90E-28	0.9	227	4	237	208	33	216	Maribacter aquivivus DSM16478
GT28.hmm	WP_073246945.1	2.20E-47	0.99	157	1	362	157	193	349	Maribacter aquivivus DSM16478
PL7.hmm	WP_073247151.1	7.60E-52	1	231	1	304	231	57	303	Maribacter aquivivus DSM16478
PL7.hmm	WP_073247153.1	9.00E-59	1	231	1	303	231	52	303	Maribacter aquivivus DSM16478
GH13_14.hmm	WP_073247396.1	6.10E-116	1	289	1	660	289	196	520	Maribacter aquivivus DSM16478
GH3.hmm	WP_073247458.1	1.90E-64	0.98	216	3	757	215	100	321	Maribacter aquivivus DSM16478
PL38.hmm	WP_084134920.1	7.50E-92	0.99	279	3	413	279	84	357	Maribacter aquivivus DSM16478
GH32.hmm	WP_084134922.1	1.20E-100	0.97	293	1	527	286	52	357	Maribacter aquivivus DSM16478
GT4.hmm	WP_084134938.1	1.40E-27	0.87	160	9	361	148	190	327	Maribacter aquivivus DSM16478
GT4.hmm	WP_084134953.1	6.30E-18	0.75	160	11	373	131	186	304	Maribacter aquivivus DSM16478
GH114.hmm	WP_084134998.1	2.80E-18	0.52	190	13	320	112	201	317	Maribacter aquivivus DSM16478
GT4.hmm	WP_084135001.1	3.90E-27	0.95	160	7	371	159	184	340	Maribacter aquivivus DSM16478
CE14.hmm	WP_084135045.1	2.40E-23	0.99	124	1	296	124	58	176	Maribacter aquivivus DSM16478
AA3.hmm	WP_139251893.1	6.50E-47	0.51	618	87	567	401	4	561	Maribacter aquivivus DSM16478
GH1.hmm	WP_139251903.1	7.30E-149	0.99	429	3	445	427	4	444	Maribacter aquivivus DSM16478
GT9.hmm	WP_139251917.1	9.40E-28	0.92	225	3	357	210	72	317	Maribacter aquivivus DSM16478
GH16_3.hmm	WP_139251939.1	7.70E-60	0.96	230	10	331	230	96	330	Maribacter aquivivus DSM16478
GH16_11.hmm	WP_139251943.1	1.10E-96	1	242	1	386	242	135	381	Maribacter aquivivus DSM16478
GH2.hmm	WP_170861936.1	8.10E-98	0.65	752	44	999	534	209	795	Maribacter aquivivus DSM16478
CBM13.hmm	WP_170861974.1	6.10E-18	0.77	188	4	1002	148	790	936	Maribacter aquivivus DSM16478
GT2_Glycos_transf_2.hmm	WP_170861983.1	1.20E-28	0.98	170	2	265	168	8	179	Maribacter aquivivus DSM16478
GH2.hmm	WP_133670996.1	8.70E-104	0.57	752	16	602	446	25	529	Maribacter caenipelagi CECT8455
CE11.hmm	WP_133671021.1	1.30E-76	0.86	271	1	466	233	8	241	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133671063.1	2.60E-16	0.93	126	3	378	120	43	156	Maribacter caenipelagi CECT8455
CE14.hmm	WP_133671069.1	3.50E-23	0.99	124	1	238	124	6	111	Maribacter caenipelagi CECT8455
CE14.hmm	WP_133671078.1	3.40E-17	0.9	124	1	843	113	45	156	Maribacter caenipelagi CECT8455
CBM47.hmm	WP_133671117.1	5.20E-23	0.98	128	2	306	128	28	151	Maribacter caenipelagi CECT8455
AA2.hmm	WP_133671267.1	9.60E-16	0.42	255	11	747	117	90	198	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133671292.1	1.30E-35	0.62	170	1	323	106	9	114	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133671293.1	3.30E-20	0.84	160	23	379	157	216	346	Maribacter caenipelagi CECT8455
GT26.hmm	WP_133671296.1	4.00E-64	0.99	171	2	249	171	60	230	Maribacter caenipelagi CECT8455
GT51.hmm	WP_133671349.1	6.00E-58	0.99	177	1	781	176	67	244	Maribacter caenipelagi CECT8455
GH95.hmm	WP_133671390.1	3.30E-275	0.99	722	3	811	717	31	796	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133671432.1	6.30E-29	0.96	170	1	466	165	112	278	Maribacter caenipelagi CECT8455
AA3.hmm	WP_133671445.1	1.30E-54	0.52	618	80	569	403	3	566	Maribacter caenipelagi CECT8455
AA3.hmm	WP_133671451.1	1.40E-46	0.51	618	87	567	401	4	561	Maribacter caenipelagi CECT8455
GH114.hmm	WP_133671484.1	4.50E-19	0.53	190	12	336	113	213	331	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133671485.1	2.40E-34	0.94	160	8	514	158	313	464	Maribacter caenipelagi CECT8455
GH166.hmm	WP_133671487.1	7.60E-57	0.99	224	2	268	224	47	262	Maribacter caenipelagi CECT8455
GH63.hmm	WP_133671517.1	1.30E-49	0.36	570	362	437	566	33	435	Maribacter caenipelagi CECT8455
GH74.hmm	WP_133671559.1	7.20E-16	0.43	233	20	1051	120	155	265	Maribacter caenipelagi CECT8455
CBM9.hmm	WP_133671680.1	2.60E-41	0.84	182	1	362	153	49	224	Maribacter caenipelagi CECT8455
GH1.hmm	WP_133671685.1	2.70E-153	0.99	429	3	453	427	12	452	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133671690.1	2.90E-46	0.98	126	2	450	126	36	160	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133671695.1	7.60E-22	0.98	126	2	463	125	54	169	Maribacter caenipelagi CECT8455
GT30.hmm	WP_133671731.1	3.50E-46	0.94	177	10	415	176	45	207	Maribacter caenipelagi CECT8455
CBM9.hmm	WP_133671754.1	1.80E-19	0.81	182	1	876	148	44	199	Maribacter caenipelagi CECT8455
GH13_18.hmm	WP_133671782.1	8.80E-116	1	343	1	484	343	34	377	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133671875.1	1.70E-21	0.76	170	2	284	132	5	142	Maribacter caenipelagi CECT8455
GH23.hmm	WP_133671929.1	1.40E-25	0.87	135	2	526	120	159	293	Maribacter caenipelagi CECT8455
GT9.hmm	WP_133671933.1	3.70E-32	0.88	225	2	334	201	59	287	Maribacter caenipelagi CECT8455
GT5.hmm	WP_133672066.1	1.60E-112	0.99	472	3	511	469	5	507	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133672190.1	1.80E-23	0.84	227	1	275	191	37	232	Maribacter caenipelagi CECT8455
GH63.hmm	WP_133672229.1	3.50E-24	0.35	570	363	875	565	419	868	Maribacter caenipelagi CECT8455
GH63.hmm	WP_133672237.1	1.90E-22	0.36	570	364	876	567	425	872	Maribacter caenipelagi CECT8455
GH32.hmm	WP_133672301.1	3.00E-94	1	293	1	535	293	50	373	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133672439.1	8.50E-23	0.93	126	1	449	118	43	156	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672477.1	2.40E-20	0.57	170	1	272	98	7	105	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672478.1	6.50E-21	0.83	170	2	264	143	10	142	Maribacter caenipelagi CECT8455
GH20.hmm	WP_133672486.1	8.00E-105	0.97	337	8	536	335	173	487	Maribacter caenipelagi CECT8455
GT83.hmm	WP_133672496.1	2.30E-72	0.88	540	6	552	482	3	486	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672498.1	6.60E-30	0.86	170	1	319	148	10	148	Maribacter caenipelagi CECT8455
CBM9.hmm	WP_133672504.1	2.00E-32	0.99	182	2	244	182	40	242	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672571.1	2.00E-23	0.95	170	2	379	163	142	305	Maribacter caenipelagi CECT8455
GH5_42.hmm	WP_133672574.1	6.90E-121	0.99	254	2	512	254	223	475	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672577.1	1.70E-24	0.98	170	2	388	169	151	320	Maribacter caenipelagi CECT8455
GT2_Glyco_tranf_2_3.hmm	WP_133672667.1	8.90E-24	1	230	1	476	230	61	332	Maribacter caenipelagi CECT8455
PL7_5.hmm	WP_133672687.1	1.20E-70	0.9	267	26	366	265	66	346	Maribacter caenipelagi CECT8455
AA12.hmm	WP_133672714.1	4.40E-21	0.86	401	13	395	358	49	349	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672895.1	3.10E-27	0.99	170	1	335	169	6	172	Maribacter caenipelagi CECT8455
GH13_19.hmm	WP_133672960.1	9.90E-81	0.62	360	136	563	360	181	429	Maribacter caenipelagi CECT8455
GH23.hmm	WP_133672990.1	9.20E-23	0.93	135	2	318	128	103	241	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133672997.1	4.20E-30	0.76	170	1	319	131	4	136	Maribacter caenipelagi CECT8455
GH15.hmm	WP_133673016.1	1.50E-72	0.99	361	4	600	360	221	582	Maribacter caenipelagi CECT8455
GT20.hmm	WP_133673017.1	6.50E-176	0.97	475	13	737	473	2	470	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673042.1	6.20E-16	0.89	227	7	639	210	381	606	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133673064.1	3.10E-22	0.98	126	1	373	125	3	117	Maribacter caenipelagi CECT8455
AA3.hmm	WP_133673099.1	9.40E-50	0.51	618	85	566	401	9	561	Maribacter caenipelagi CECT8455
GH2.hmm	WP_133673112.1	4.80E-224	0.97	752	19	1063	751	59	942	Maribacter caenipelagi CECT8455
GH130.hmm	WP_133673283.1	2.70E-78	0.93	296	9	374	285	61	372	Maribacter caenipelagi CECT8455
AA3.hmm	WP_133673286.1	4.00E-58	0.52	618	83	573	404	3	571	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133673288.1	1.80E-22	0.94	126	2	457	120	41	157	Maribacter caenipelagi CECT8455
GH127.hmm	WP_133673344.1	3.80E-198	1	524	1	660	524	50	594	Maribacter caenipelagi CECT8455
GH51.hmm	WP_133673345.1	4.50E-139	0.72	630	84	518	540	27	515	Maribacter caenipelagi CECT8455
GH95.hmm	WP_133673347.1	4.40E-294	0.98	722	6	820	715	23	755	Maribacter caenipelagi CECT8455
GH43_10.hmm	WP_133673348.1	1.70E-102	1	271	1	524	271	28	295	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673349.1	1.70E-53	0.96	227	2	390	221	154	385	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673350.1	1.10E-53	0.97	227	1	368	222	152	364	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673351.1	8.20E-53	0.96	227	1	388	220	149	382	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673352.1	6.40E-44	0.95	227	1	400	217	169	387	Maribacter caenipelagi CECT8455
CE15.hmm	WP_133673354.1	7.70E-87	0.99	269	2	452	267	75	449	Maribacter caenipelagi CECT8455
GH43_12.hmm	WP_133673355.1	6.50E-102	0.99	281	2	582	281	62	356	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673357.1	1.30E-46	0.94	227	7	383	220	148	378	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673358.1	1.50E-47	0.97	227	1	360	222	140	357	Maribacter caenipelagi CECT8455
GH8.hmm	WP_133673359.1	6.90E-79	0.93	320	21	421	319	83	410	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673361.1	1.60E-56	0.95	227	1	902	217	312	531	Maribacter caenipelagi CECT8455
CBM67.hmm	WP_133673377.1	8.40E-32	0.9	176	11	1206	170	394	570	Maribacter caenipelagi CECT8455
GH78.hmm	WP_133673377.1	3.10E-157	1	504	2	1206	504	607	1160	Maribacter caenipelagi CECT8455
GH31.hmm	WP_133673436.1	8.60E-166	1	427	1	800	427	229	673	Maribacter caenipelagi CECT8455
CBM48.hmm	WP_133673437.1	2.90E-18	0.89	76	2	631	70	29	116	Maribacter caenipelagi CECT8455
GH13_9.hmm	WP_133673437.1	3.30E-155	1	301	1	631	301	183	483	Maribacter caenipelagi CECT8455
GT51.hmm	WP_133673513.1	2.10E-56	0.98	177	4	752	177	69	247	Maribacter caenipelagi CECT8455
CBM9.hmm	WP_133673515.1	9.40E-19	0.88	182	2	732	162	38	208	Maribacter caenipelagi CECT8455
GH29.hmm	WP_133673523.1	6.50E-74	0.83	346	48	738	334	55	385	Maribacter caenipelagi CECT8455
CBM32.hmm	WP_133673523.1	1.80E-18	0.92	124	8	738	122	610	734	Maribacter caenipelagi CECT8455
CBM9.hmm	WP_133673525.1	4.20E-18	0.98	182	2	726	180	35	218	Maribacter caenipelagi CECT8455
GH109.hmm	WP_133673569.1	6.90E-16	0.9	126	1	478	114	36	142	Maribacter caenipelagi CECT8455
GH5_2.hmm	WP_133673589.1	4.90E-106	1	237	1	357	237	75	311	Maribacter caenipelagi CECT8455
GH3.hmm	WP_133673616.1	1.80E-61	0.97	216	5	518	215	90	317	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673624.1	5.70E-28	0.9	227	4	237	208	33	216	Maribacter caenipelagi CECT8455
GH3.hmm	WP_133673641.1	1.10E-54	0.98	216	5	969	216	99	325	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673642.1	8.30E-37	0.94	160	6	379	156	195	342	Maribacter caenipelagi CECT8455
CBM13.hmm	WP_133673648.1	1.30E-19	0.7	188	4	2172	135	812	945	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133673650.1	5.30E-28	0.97	170	2	264	167	7	177	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673653.1	3.80E-26	0.96	160	4	379	158	193	348	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673654.1	7.20E-31	0.97	160	2	378	157	188	345	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673657.1	3.30E-29	0.91	160	7	385	152	203	348	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673658.1	1.90E-22	0.91	160	10	350	156	179	320	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673659.1	1.10E-25	0.84	160	6	355	140	182	310	Maribacter caenipelagi CECT8455
GT4.hmm	WP_133673661.1	4.60E-36	0.96	160	3	362	157	181	332	Maribacter caenipelagi CECT8455
PL1_2.hmm	WP_133673663.1	2.30E-23	0.92	183	15	614	183	241	424	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133673665.1	3.30E-24	0.6	170	1	300	103	3	105	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133673667.1	6.80E-38	0.97	170	1	338	166	16	176	Maribacter caenipelagi CECT8455
CE1.hmm	WP_133673745.1	1.20E-16	0.85	227	13	219	207	12	201	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133673749.1	2.00E-32	0.98	170	1	335	168	7	173	Maribacter caenipelagi CECT8455
GH43_1.hmm	WP_133673795.1	5.00E-164	1	310	1	339	310	22	331	Maribacter caenipelagi CECT8455
GH10.hmm	WP_133673797.1	9.00E-107	0.99	303	2	384	302	42	377	Maribacter caenipelagi CECT8455
GT27.hmm	WP_133673852.1	1.90E-21	0.79	295	2	333	236	5	231	Maribacter caenipelagi CECT8455
GH67.hmm	WP_133673889.1	1.90E-291	0.99	669	2	711	666	12	682	Maribacter caenipelagi CECT8455
GH13_38.hmm	WP_133673944.1	2.80E-177	0.99	375	1	591	374	31	426	Maribacter caenipelagi CECT8455
GH65.hmm	WP_133673946.1	6.30E-146	0.99	372	1	767	370	323	701	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133674050.1	5.20E-27	0.94	170	2	242	162	6	165	Maribacter caenipelagi CECT8455
GT83.hmm	WP_133674121.1	2.20E-18	0.63	540	5	493	346	17	345	Maribacter caenipelagi CECT8455
GT5.hmm	WP_133674136.1	8.20E-46	0.47	472	1	269	222	5	236	Maribacter caenipelagi CECT8455
GH13_4.hmm	WP_133674207.1	3.40E-178	1	400	2	646	400	104	502	Maribacter caenipelagi CECT8455
AA7.hmm	WP_133674272.1	1.60E-108	0.99	458	3	456	458	27	453	Maribacter caenipelagi CECT8455
GH73.hmm	WP_133674320.1	2.30E-34	0.98	128	2	273	128	76	205	Maribacter caenipelagi CECT8455
PL6.hmm	WP_133674343.1	9.50E-133	0.99	372	2	772	371	26	410	Maribacter caenipelagi CECT8455
PL7_5.hmm	WP_133674344.1	8.90E-65	0.61	267	103	350	265	115	338	Maribacter caenipelagi CECT8455
PL6.hmm	WP_133674345.1	2.90E-143	0.99	372	3	778	370	27	396	Maribacter caenipelagi CECT8455
PL17.hmm	WP_133674346.1	2.80E-52	0.98	139	1	742	137	401	535	Maribacter caenipelagi CECT8455
CBM48.hmm	WP_133674377.1	5.80E-17	0.92	76	3	598	73	11	92	Maribacter caenipelagi CECT8455
GH13_9.hmm	WP_133674377.1	8.80E-79	0.99	301	1	598	299	148	447	Maribacter caenipelagi CECT8455
GH3.hmm	WP_133674387.1	9.80E-51	0.95	216	7	764	213	180	433	Maribacter caenipelagi CECT8455
GH113.hmm	WP_133674404.1	8.40E-78	0.99	306	3	771	306	460	766	Maribacter caenipelagi CECT8455
GT19.hmm	WP_133674448.1	2.20E-125	0.99	354	2	373	352	4	353	Maribacter caenipelagi CECT8455
GH32.hmm	WP_133674463.1	5.10E-99	0.98	293	1	527	288	52	358	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133674466.1	2.90E-20	0.72	170	1	234	123	9	124	Maribacter caenipelagi CECT8455
CBM67.hmm	WP_133674471.1	7.70E-29	0.94	176	1	801	167	35	218	Maribacter caenipelagi CECT8455
GH78.hmm	WP_133674471.1	1.40E-87	0.98	504	6	801	502	275	779	Maribacter caenipelagi CECT8455
GT2_Glycos_transf_2.hmm	WP_133674473.1	4.50E-22	0.84	170	2	229	145	6	141	Maribacter caenipelagi CECT8455
GT2_Glyco_tranf_2_3.hmm	WP_133674474.1	1.90E-27	0.98	230	1	494	227	56	283	Maribacter caenipelagi CECT8455
GH13_14.hmm	WP_133674493.1	6.10E-114	1	289	1	660	289	196	520	Maribacter caenipelagi CECT8455
PL7.hmm	WP_133674637.1	8.70E-59	1	231	1	302	231	51	302	Maribacter caenipelagi CECT8455
PL7.hmm	WP_133674638.1	3.90E-52	1	231	1	302	231	56	302	Maribacter caenipelagi CECT8455
GT28.hmm	WP_133674747.1	7.90E-47	0.99	157	2	362	157	194	349	Maribacter caenipelagi CECT8455
GH85.hmm	WP_166637465.1	2.50E-91	0.98	315	5	635	314	89	394	Maribacter caenipelagi CECT8455
GT83.hmm	WP_166637469.1	2.50E-26	0.63	540	9	457	350	9	346	Maribacter caenipelagi CECT8455
CBM57.hmm	WP_166637473.1	5.00E-24	0.97	147	5	273	147	2	167	Maribacter caenipelagi CECT8455
PL7_5.hmm	WP_058102479.1	4.30E-60	0.61	267	103	352	265	116	341	Maribacter dokdonensis DSW-8
CE14.hmm	WP_058102559.1	1.10E-18	0.91	124	1	843	114	45	157	Maribacter dokdonensis DSW-8
CE14.hmm	WP_058102568.1	4.50E-25	0.99	124	1	238	124	6	111	Maribacter dokdonensis DSW-8
CE11.hmm	WP_058102619.1	2.40E-77	0.86	271	1	466	233	8	241	Maribacter dokdonensis DSW-8
GT2_Glyco_tranf_2_3.hmm	WP_058102674.1	9.30E-20	0.74	230	60	476	230	143	332	Maribacter dokdonensis DSW-8
PL7_5.hmm	WP_058102694.1	3.00E-69	0.9	267	25	367	265	61	342	Maribacter dokdonensis DSW-8
AA7.hmm	WP_058102762.1	7.00E-97	0.99	458	4	463	458	36	459	Maribacter dokdonensis DSW-8
GH30_1.hmm	WP_058102830.1	1.90E-179	0.99	416	3	494	416	78	493	Maribacter dokdonensis DSW-8
GH16_3.hmm	WP_058102831.1	4.70E-85	1	230	1	356	230	127	355	Maribacter dokdonensis DSW-8
PL7.hmm	WP_058102889.1	1.10E-33	0.98	231	4	305	231	65	304	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058102958.1	3.40E-27	0.98	170	1	335	167	6	170	Maribacter dokdonensis DSW-8
GH13_19.hmm	WP_058103020.1	1.30E-81	0.62	360	136	563	360	181	429	Maribacter dokdonensis DSW-8
GH23.hmm	WP_058103052.1	1.90E-22	0.93	135	2	318	128	103	241	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103058.1	8.70E-30	0.75	170	1	319	129	4	134	Maribacter dokdonensis DSW-8
GH15.hmm	WP_058103077.1	3.70E-72	0.98	361	5	600	360	222	582	Maribacter dokdonensis DSW-8
GT20.hmm	WP_058103078.1	1.40E-177	0.97	475	13	737	473	2	470	Maribacter dokdonensis DSW-8
CE1.hmm	WP_058103108.1	6.20E-16	0.89	227	7	639	210	381	606	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103171.1	1.20E-30	0.98	170	1	335	167	7	172	Maribacter dokdonensis DSW-8
GT4.hmm	WP_058103267.1	1.00E-24	0.96	160	6	371	159	209	347	Maribacter dokdonensis DSW-8
GT4.hmm	WP_058103280.1	1.80E-36	0.94	160	6	379	156	195	342	Maribacter dokdonensis DSW-8
GH3.hmm	WP_058103281.1	1.20E-55	0.97	216	7	969	216	101	325	Maribacter dokdonensis DSW-8
CE1.hmm	WP_058103302.1	3.10E-29	0.9	227	4	238	208	34	217	Maribacter dokdonensis DSW-8
GH3.hmm	WP_058103310.1	5.60E-62	0.97	216	5	518	215	90	317	Maribacter dokdonensis DSW-8
GH109.hmm	WP_058103358.1	2.80E-17	0.9	126	1	478	114	36	142	Maribacter dokdonensis DSW-8
GH5_42.hmm	WP_058103427.1	1.80E-121	1	254	1	516	254	222	476	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103430.1	2.30E-24	0.95	170	2	379	164	142	306	Maribacter dokdonensis DSW-8
CBM9.hmm	WP_058103493.1	7.80E-35	0.99	182	2	244	182	40	242	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103500.1	1.40E-30	0.76	170	1	319	131	10	138	Maribacter dokdonensis DSW-8
GT83.hmm	WP_058103502.1	1.50E-75	0.94	540	6	552	512	3	511	Maribacter dokdonensis DSW-8
GH20.hmm	WP_058103513.1	1.20E-103	0.97	337	9	536	335	174	487	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103520.1	9.90E-21	0.82	170	2	264	142	10	141	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103521.1	3.80E-20	0.57	170	1	272	98	7	105	Maribacter dokdonensis DSW-8
GH109.hmm	WP_058103554.1	2.30E-24	0.96	126	1	449	122	43	160	Maribacter dokdonensis DSW-8
GH115.hmm	WP_058103609.1	9.50E-228	0.85	697	3	996	597	34	687	Maribacter dokdonensis DSW-8
GH29.hmm	WP_058103611.1	3.30E-91	0.88	346	38	431	344	23	314	Maribacter dokdonensis DSW-8
GH92.hmm	WP_058103612.1	1.10E-143	0.99	491	5	774	490	241	772	Maribacter dokdonensis DSW-8
GH109.hmm	WP_058103617.1	8.90E-16	0.9	126	1	451	115	44	155	Maribacter dokdonensis DSW-8
GH78.hmm	WP_058103618.1	2.00E-97	0.99	504	3	611	502	40	575	Maribacter dokdonensis DSW-8
GH63.hmm	WP_058103681.1	8.60E-24	0.36	570	364	875	567	425	872	Maribacter dokdonensis DSW-8
GH63.hmm	WP_058103689.1	3.10E-24	0.35	570	363	875	565	419	868	Maribacter dokdonensis DSW-8
GT5.hmm	WP_058103809.1	1.20E-111	0.99	472	3	511	470	5	508	Maribacter dokdonensis DSW-8
GT2_Glycos_transf_2.hmm	WP_058103885.1	2.90E-22	0.76	170	2	284	132	5	142	Maribacter dokdonensis DSW-8
GT30.hmm	WP_058103991.1	1.20E-46	0.93	177	11	416	176	46	207	Maribacter dokdonensis DSW-8
GH109.hmm	WP_058104037.1	3.30E-22	0.98	126	2	463	125	54	169	Maribacter dokdonensis DSW-8
